,county,year,population,bachelor_degree_pct,high_school_graduate_or_higher_pct
303,Lewis,2019,8471,0.07,0.84
304,Lewis,2020,8565,0.07,0.83
305,Lewis,2021,8641,0.06,0.83
309,Lincoln,2019,23775,0.12,0.84
310,Lincoln,2020,23981,0.12,0.85
311,Lincoln,2021,24541,0.12,0.86
315,Loudon,2019,38291,0.17,0.86
316,Loudon,2020,39118,0.18,0.87
317,Loudon,2021,40184,0.18,0.87
321,Macon,2019,16032,0.06,0.8
322,Macon,2020,16141,0.05,0.82
323,Macon,2021,16610,0.06,0.8
327,Madison,2019,65067,0.16,0.89
328,Madison,2020,65529,0.16,0.89
329,Madison,2021,65820,0.16,0.9
333,Marion,2019,20348,0.09,0.82
334,Marion,2020,20482,0.08,0.81
335,Marion,2021,20505,0.09,0.82
339,Marshall,2019,22727,0.1,0.85
340,Marshall,2020,23303,0.11,0.87
341,Marshall,2021,23275,0.12,0.88
345,Maury,2019,63595,0.16,0.9
346,Maury,2020,65657,0.16,0.9
347,Maury,2021,68730,0.18,0.91
351,McMinn,2019,37514,0.11,0.85
352,McMinn,2020,37863,0.11,0.85
353,McMinn,2021,37439,0.12,0.86
357,McNairy,2019,18185,0.08,0.83
358,McNairy,2020,18304,0.08,0.84
359,McNairy,2021,18351,0.07,0.85
363,Meigs,2019,8808,0.06,0.84
364,Meigs,2020,8936,0.07,0.84
365,Meigs,2021,9250,0.07,0.83
369,Monroe,2019,32568,0.09,0.82
370,Monroe,2020,33139,0.1,0.85
371,Monroe,2021,32985,0.1,0.85
375,Montgomery,2019,123893,0.19,0.93
376,Montgomery,2020,127366,0.19,0.93
377,Montgomery,2021,134344,0.19,0.94
381,Moore,2019,4590,0.15,0.86
382,Moore,2020,4673,0.15,0.86
383,Moore,2021,4716,0.16,0.87
387,Morgan,2019,15570,0.06,0.8
388,Morgan,2020,15626,0.06,0.82
389,Morgan,2021,15389,0.07,0.81
393,Obion,2019,21277,0.1,0.84
394,Obion,2020,21387,0.1,0.84
395,Obion,2021,21643,0.1,0.83
399,Overton,2019,15511,0.08,0.81
400,Overton,2020,15680,0.08,0.8
401,Overton,2021,15797,0.08,0.81
405,Perry,2019,5571,0.06,0.75
406,Perry,2020,5551,0.05,0.75
407,Perry,2021,5775,0.05,0.78
411,Pickett,2019,3888,0.06,0.74
412,Pickett,2020,3854,0.08,0.79
413,Pickett,2021,3797,0.11,0.79
417,Polk,2019,12288,0.07,0.82
418,Polk,2020,12433,0.08,0.82
419,Polk,2021,12879,0.09,0.82
423,Putnam,2019,50110,0.16,0.87
