Educational Attainment,Location.1,Year,First Values
Population 25 years and over,Decatur County,2017,"8,390"
Population 25 years and over,Decatur County,2018,"8,344"
Population 25 years and over,Decatur County,2019,"8,379"
Population 25 years and over,Decatur County,2020,"8,466"
Population 25 years and over,Decatur County,2021,"8,299"
Population 25 years and over,DeKalb County,2016,"13,323"
Population 25 years and over,DeKalb County,2017,"13,623"
Population 25 years and over,DeKalb County,2018,"13,958"
Population 25 years and over,DeKalb County,2019,"14,120"
Population 25 years and over,DeKalb County,2020,"14,344"
Population 25 years and over,DeKalb County,2021,"14,200"
Population 25 years and over,Dickson County,2016,"34,804"
Population 25 years and over,Dickson County,2017,"35,020"
Population 25 years and over,Dickson County,2018,"35,558"
Population 25 years and over,Dickson County,2019,"36,399"
Population 25 years and over,Dickson County,2020,"37,114"
Population 25 years and over,Dickson County,2021,"37,545"
Population 25 years and over,Dyer County,2016,"25,544"
Population 25 years and over,Dyer County,2017,"25,448"
Population 25 years and over,Dyer County,2018,"25,465"
Population 25 years and over,Dyer County,2019,"25,509"
Population 25 years and over,Dyer County,2020,"25,213"
Population 25 years and over,Dyer County,2021,"24,951"
Population 25 years and over,Fayette County,2016,"28,134"
Population 25 years and over,Fayette County,2017,"28,528"
Population 25 years and over,Fayette County,2018,"28,923"
Population 25 years and over,Fayette County,2019,"29,515"
Population 25 years and over,Fayette County,2020,"30,079"
Population 25 years and over,Fayette County,2021,"31,005"
Population 25 years and over,Fentress County,2016,"12,652"
Population 25 years and over,Fentress County,2017,"12,735"
Population 25 years and over,Fentress County,2018,"12,736"
Population 25 years and over,Fentress County,2019,"13,023"
Population 25 years and over,Fentress County,2020,"13,212"
Population 25 years and over,Fentress County,2021,"13,201"
Population 25 years and over,Franklin County,2016,"28,149"
Population 25 years and over,Franklin County,2017,"28,183"
Population 25 years and over,Franklin County,2018,"28,358"
Population 25 years and over,Franklin County,2019,"28,554"
Population 25 years and over,Franklin County,2020,"28,857"
Population 25 years and over,Franklin County,2021,"29,084"
Population 25 years and over,Gibson County,2016,"33,608"
Population 25 years and over,Gibson County,2017,"33,168"
Population 25 years and over,Gibson County,2018,"33,235"
Population 25 years and over,Gibson County,2019,"33,418"
Population 25 years and over,Gibson County,2020,"33,392"
Population 25 years and over,Gibson County,2021,"34,266"
Population 25 years and over,Giles County,2016,"20,348"
Population 25 years and over,Giles County,2017,"20,447"
Population 25 years and over,Giles County,2018,"20,590"
Population 25 years and over,Giles County,2019,"20,733"
Population 25 years and over,Giles County,2020,"20,709"
Population 25 years and over,Giles County,2021,"21,250"
Population 25 years and over,Grainger County,2016,"16,317"
Population 25 years and over,Grainger County,2017,"16,468"
Population 25 years and over,Grainger County,2018,"16,516"
Population 25 years and over,Grainger County,2019,"16,634"
Population 25 years and over,Grainger County,2020,"16,900"
Population 25 years and over,Grainger County,2021,"16,952"
Population 25 years and over,Greene County,2016,"49,012"
Population 25 years and over,Greene County,2017,"49,161"
Population 25 years and over,Greene County,2018,"49,378"
Population 25 years and over,Greene County,2019,"49,755"
Population 25 years and over,Greene County,2020,"50,031"
Population 25 years and over,Greene County,2021,"50,635"
Population 25 years and over,Grundy County,2016,"9,465"
Population 25 years and over,Grundy County,2017,"9,312"
