district_number,district_name,school_year,school_name,school_year,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_iss,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
792,Shelby County,2020,Hickory Ridge Elementary,2020,0,4,0,0,0,802,0,0.5,0,0,0
792,Shelby County,2020,Hickory Ridge Middle,2020,110,100,7,20,4,976,11.3,10.2,0.7,2,0.4
792,Shelby County,2020,Hollis F. Price Middle College,2020,17,11,0,0,0,110,15.5,10,0,0,0
792,Shelby County,2020,Holmes Road Elementary,2020,0,89,0,7,0,735,0,12.1,0,1,0
792,Shelby County,2020,Ida B. Wells Academy ES/MS,2020,0,11,0,0,0,164,0,6.7,0,0,0
792,Shelby County,2020,Idlewild Elementary,2020,1,5,0,0,0,538,0.2,0.9,0,0,0
792,Shelby County,2020,Jackson Elementary,2020,0,4,0,0,0,337,0,1.2,0,0,0
792,Shelby County,2020,J. P. Freeman Elementary/Middle,2020,5,19,0,0,2,642,0.8,3,0,0,0.3
792,Shelby County,2020,Keystone Elementary,2020,2,18,0,0,0,483,0.4,3.7,0,0,0
792,Shelby County,2020,Kingsbury Elementary,2020,2,11,1,1,0,571,0.4,1.9,0.2,0.2,0
792,Shelby County,2020,Kingsbury Middle,2020,34,136,3,4,2,727,4.7,18.7,0.4,0.6,0.3
792,Shelby County,2020,Kingsbury High,2020,83,128,12,17,9,1513,5.5,8.5,0.8,1.1,0.6
792,Shelby County,2020,Kirby High,2020,84,175,11,15,8,1084,7.7,16.1,1,1.4,0.7
792,Shelby County,2020,Knight Road Elementary,2020,9,7,0,0,0,476,1.9,1.5,0,0,0
792,Shelby County,2020,Larose Elementary,2020,4,31,1,2,0,311,1.3,10,0.3,0.6,0
792,Shelby County,2020,Levi Elementary,2020,7,27,0,2,0,506,1.4,5.3,0,0.4,0
792,Shelby County,2020,Lucie E. Campbell Elementary,2020,0,63,2,2,0,628,0,10,0.3,0.3,0
792,Shelby County,2020,Magnolia Elementary,2020,0,57,1,2,0,365,0,15.6,0.3,0.5,0
792,Shelby County,2020,Manassas High,2020,34,84,10,25,22,522,6.5,16.1,1.9,4.8,4.2
792,Shelby County,2020,Melrose High,2020,42,142,7,16,6,794,5.3,17.9,0.9,2,0.8
792,Shelby County,2020,Middle College High,2020,3,5,0,0,0,324,0.9,1.5,0,0,0
792,Shelby County,2020,Mitchell High,2020,55,7,1,3,59,485,11.3,1.4,0.2,0.6,12.2
792,Shelby County,2020,Newberry Elementary,2020,0,12,1,0,3,490,0,2.4,0.2,0,0.6
792,Shelby County,2020,Oakhaven Elementary,2020,0,29,1,5,2,618,0,4.7,0.2,0.8,0.3
792,Shelby County,2020,Oakhaven Middle,2020,0,48,3,13,4,405,0,11.9,0.7,3.2,1
792,Shelby County,2020,Oakhaven High,2020,0,46,7,9,4,429,0,10.7,1.6,2.1,0.9
792,Shelby County,2020,Oakshire Elementary,2020,4,40,0,0,0,402,1,10,0,0,0
792,Shelby County,2020,Overton High,2020,34,85,6,21,13,1350,2.5,6.3,0.4,1.6,1
792,Shelby County,2020,Peabody Elementary,2020,12,13,0,1,0,378,3.2,3.4,0,0.3,0
792,Shelby County,2020,Raleigh-Bartlett Meadows Elementary,2020,0,8,0,2,2,559,0,1.4,0,0.4,0.4
792,Shelby County,2020,Raleigh-Egypt High,2020,2,111,4,6,15,713,0.3,15.6,0.6,0.8,2.1
792,Shelby County,2020,Raleigh Egypt Middle School,2020,75,104,10,14,1,585,12.8,17.8,1.7,2.4,0.2
792,Shelby County,2020,Richland Elementary,2020,5,4,0,0,0,901,0.6,0.4,0,0,0
792,Shelby County,2020,Balmoral/Ridgeway Elementary,2020,1,2,0,0,0,363,0.3,0.6,0,0,0
792,Shelby County,2020,Ridgeway Middle,2020,10,126,4,8,1,845,1.2,14.9,0.5,0.9,0.1
792,Shelby County,2020,Ridgeway High,2020,156,113,3,3,3,1109,14.1,10.2,0.3,0.3,0.3
792,Shelby County,2020,Riverview Elementary/Middle,2020,26,67,3,7,2,550,4.7,12.2,0.5,1.3,0.4
792,Shelby County,2020,Robert R. Church Elementary,2020,5,46,2,3,0,797,0.6,5.8,0.3,0.4,0
792,Shelby County,2020,Ross Elementary,2020,44,61,0,0,0,687,6.4,8.9,0,0,0
792,Shelby County,2020,Rozelle Elementary,2020,3,6,0,0,0,243,1.2,2.5,0,0,0
