district_number,district_name,school_number,school_name,alternative_school,school_year,grade_level,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent of in school suspensions,percent suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
50,Blount County,138,Union Grove Elementary School,No,2020,01,0,0,0,0,0,56,0,0,0,0,0
50,Blount County,138,Union Grove Elementary School,No,2020,02,0,2,0,0,1,47,0,4.3,0,0,2.1
50,Blount County,138,Union Grove Elementary School,No,2020,03,0,0,0,0,0,54,0,0,0,0,0
50,Blount County,138,Union Grove Elementary School,No,2020,04,0,0,0,0,0,56,0,0,0,0,0
50,Blount County,138,Union Grove Elementary School,No,2020,05,0,0,0,0,0,42,0,0,0,0,0
50,Blount County,138,Union Grove Elementary School,No,2020,K,0,0,0,0,0,40,0,0,0,0,0
50,Blount County,145,Walland Elementary School,No,2020,01,0,1,0,0,0,55,0,1.8,0,0,0
50,Blount County,145,Walland Elementary School,No,2020,02,1,3,0,0,0,59,1.7,5.1,0,0,0
50,Blount County,145,Walland Elementary School,No,2020,03,3,0,0,0,0,46,6.5,0,0,0,0
50,Blount County,145,Walland Elementary School,No,2020,04,4,0,0,0,0,46,8.7,0,0,0,0
50,Blount County,145,Walland Elementary School,No,2020,05,8,4,0,0,0,61,13.1,6.6,0,0,0
50,Blount County,145,Walland Elementary School,No,2020,K,0,1,0,0,0,53,0,1.9,0,0,0
50,Blount County,155,William Blount High School,No,2020,09,33,39,0,10,6,442,7.5,8.8,0,2.3,1.4
50,Blount County,155,William Blount High School,No,2020,10,35,28,1,16,13,463,7.6,6,0.2,3.5,2.8
50,Blount County,155,William Blount High School,No,2020,11,31,19,0,10,12,442,7,4.3,0,2.3,2.7
50,Blount County,155,William Blount High School,No,2020,12,8,10,0,3,2,417,1.9,2.4,0,0.7,0.5
50,Blount County,160,Prospect Elementary School,No,2020,01,2,2,0,0,0,69,2.9,2.9,0,0,0
50,Blount County,160,Prospect Elementary School,No,2020,02,3,0,0,0,0,67,4.5,0,0,0,0
50,Blount County,160,Prospect Elementary School,No,2020,03,4,0,0,0,0,66,6.1,0,0,0,0
50,Blount County,160,Prospect Elementary School,No,2020,04,1,0,0,0,0,69,1.4,0,0,0,0
