ACT Code,County,County (copy),District,HighSchool,Year ,CGR %
431290,BLOUNT,BLOUNT,BLOUNT COUNTY,HERITAGE HIGH SCHOOL,2017,0.492877493
431290,BLOUNT,BLOUNT,BLOUNT COUNTY,HERITAGE HIGH SCHOOL,2018,0.495867769
431290,BLOUNT,BLOUNT,BLOUNT COUNTY,HERITAGE HIGH SCHOOL,2019,0.523510972
431290,BLOUNT,BLOUNT,BLOUNT COUNTY,HERITAGE HIGH SCHOOL,2020,0.48125
431290,BLOUNT,BLOUNT,BLOUNT COUNTY,HERITAGE HIGH SCHOOL,2021,0.426380368
430043,BLOUNT,BLOUNT,BLOUNT COUNTY,SAMUEL EVERETT SCHOOL OF INNOVATION,2017,0
430043,BLOUNT,BLOUNT,BLOUNT COUNTY,SAMUEL EVERETT SCHOOL OF INNOVATION,2018,0
430043,BLOUNT,BLOUNT,BLOUNT COUNTY,SAMUEL EVERETT SCHOOL OF INNOVATION,2019,0
430043,BLOUNT,BLOUNT,BLOUNT COUNTY,SAMUEL EVERETT SCHOOL OF INNOVATION,2020,
430043,BLOUNT,BLOUNT,BLOUNT COUNTY,SAMUEL EVERETT SCHOOL OF INNOVATION,2021,
431306,BLOUNT,BLOUNT,BLOUNT COUNTY,WILLIAM BLOUNT HIGH SCHOOL,2017,0.533498759
431306,BLOUNT,BLOUNT,BLOUNT COUNTY,WILLIAM BLOUNT HIGH SCHOOL,2018,0.557840617
431306,BLOUNT,BLOUNT,BLOUNT COUNTY,WILLIAM BLOUNT HIGH SCHOOL,2019,0.546987952
431306,BLOUNT,BLOUNT,BLOUNT COUNTY,WILLIAM BLOUNT HIGH SCHOOL,2020,0.483116883
431306,BLOUNT,BLOUNT,BLOUNT COUNTY,WILLIAM BLOUNT HIGH SCHOOL,2021,0.497282609
431300,BLOUNT,BLOUNT,MARYVILLE,MARYVILLE HIGH SCHOOL,2017,0.749303621
431300,BLOUNT,BLOUNT,MARYVILLE,MARYVILLE HIGH SCHOOL,2018,0.820330969
431300,BLOUNT,BLOUNT,MARYVILLE,MARYVILLE HIGH SCHOOL,2019,0.753148615
431300,BLOUNT,BLOUNT,MARYVILLE,MARYVILLE HIGH SCHOOL,2020,0.754342432
431300,BLOUNT,BLOUNT,MARYVILLE,MARYVILLE HIGH SCHOOL,2021,0.680232558
430370,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY CENTRAL HIGH SCHOOL,2017,0.619178082
430370,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY CENTRAL HIGH SCHOOL,2018,0.65535248
430370,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY CENTRAL HIGH SCHOOL,2019,0.568245125
430370,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY CENTRAL HIGH SCHOOL,2020,0.559556787
430370,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY CENTRAL HIGH SCHOOL,2021,0.557951482
430377,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY COUNTY VIRTUAL SCHOOL,2017,0.769230769
430377,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY COUNTY VIRTUAL SCHOOL,2018,
430377,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY COUNTY VIRTUAL SCHOOL,2019,
430377,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY COUNTY VIRTUAL SCHOOL,2020,0.545454545
430377,BRADLEY,BRADLEY,BRADLEY COUNTY,BRADLEY COUNTY VIRTUAL SCHOOL,2021,0.344827586
430380,BRADLEY,BRADLEY,BRADLEY COUNTY,NORTH CLEVELAND GOAL ACADEMY,2017,
430380,BRADLEY,BRADLEY,BRADLEY COUNTY,NORTH CLEVELAND GOAL ACADEMY,2018,
430380,BRADLEY,BRADLEY,BRADLEY COUNTY,NORTH CLEVELAND GOAL ACADEMY,2019,0.263157895
430380,BRADLEY,BRADLEY,BRADLEY COUNTY,NORTH CLEVELAND GOAL ACADEMY,2020,
430380,BRADLEY,BRADLEY,BRADLEY COUNTY,NORTH CLEVELAND GOAL ACADEMY,2021,
430384,BRADLEY,BRADLEY,BRADLEY COUNTY,WALKER VALLEY HIGH SCHOOL,2017,0.708823529
430384,BRADLEY,BRADLEY,BRADLEY COUNTY,WALKER VALLEY HIGH SCHOOL,2018,0.753709199
430384,BRADLEY,BRADLEY,BRADLEY COUNTY,WALKER VALLEY HIGH SCHOOL,2019,0.770718232
430384,BRADLEY,BRADLEY,BRADLEY COUNTY,WALKER VALLEY HIGH SCHOOL,2020,0.78742515
430384,BRADLEY,BRADLEY,BRADLEY COUNTY,WALKER VALLEY HIGH SCHOOL,2021,0.712121212
430373,BRADLEY,BRADLEY,CLEVELAND,CLEVELAND HIGH SCHOOL,2017,0.68627451
430373,BRADLEY,BRADLEY,CLEVELAND,CLEVELAND HIGH SCHOOL,2018,0.640625
430373,BRADLEY,BRADLEY,CLEVELAND,CLEVELAND HIGH SCHOOL,2019,0.671232877
430373,BRADLEY,BRADLEY,CLEVELAND,CLEVELAND HIGH SCHOOL,2020,0.60880829
430373,BRADLEY,BRADLEY,CLEVELAND,CLEVELAND HIGH SCHOOL,2021,0.557377049
431150,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,CAMPBELL COUNTY COMPREHENSIVE HIGH SCHOOL,2017,0.498470948
431150,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,CAMPBELL COUNTY COMPREHENSIVE HIGH SCHOOL,2018,0.570967742
431150,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,CAMPBELL COUNTY COMPREHENSIVE HIGH SCHOOL,2019,0.597222222
431150,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,CAMPBELL COUNTY COMPREHENSIVE HIGH SCHOOL,2020,0.488135593
431150,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,CAMPBELL COUNTY COMPREHENSIVE HIGH SCHOOL,2021,0.509225092
430990,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,JELLICO HIGH SCHOOL,2017,0.362745098
430990,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,JELLICO HIGH SCHOOL,2018,0.579710145
430990,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,JELLICO HIGH SCHOOL,2019,0.451219512
430990,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,JELLICO HIGH SCHOOL,2020,0.4
430990,CAMPBELL,CAMPBELL,CAMPBELL COUNTY,JELLICO HIGH SCHOOL,2021,0.264150943
432475,CANNON,CANNON,CANNON COUNTY,CANNON COUNTY HIGH SCHOOL,2017,0.595041322
432475,CANNON,CANNON,CANNON COUNTY,CANNON COUNTY HIGH SCHOOL,2018,0.545454545
432475,CANNON,CANNON,CANNON COUNTY,CANNON COUNTY HIGH SCHOOL,2019,0.595238095
432475,CANNON,CANNON,CANNON COUNTY,CANNON COUNTY HIGH SCHOOL,2020,0.45
432475,CANNON,CANNON,CANNON COUNTY,CANNON COUNTY HIGH SCHOOL,2021,0.420168067
430195,CARROLL,CARROLL,HOLLOW ROCK - BRUCETON,CENTRAL HIGH SCHOOL,2017,0.518518519
430195,CARROLL,CARROLL,HOLLOW ROCK - BRUCETON,CENTRAL HIGH SCHOOL,2018,0.575
430195,CARROLL,CARROLL,HOLLOW ROCK - BRUCETON,CENTRAL HIGH SCHOOL,2019,0.511627907
430195,CARROLL,CARROLL,HOLLOW ROCK - BRUCETON,CENTRAL HIGH SCHOOL,2020,0.717948718
430195,CARROLL,CARROLL,HOLLOW ROCK - BRUCETON,CENTRAL HIGH SCHOOL,2021,0.5
430935,CARROLL,CARROLL,HUNTINGDON SPECIAL SCHOOL DISTRICT,HUNTINGDON HIGH SCHOOL,2017,0.590909091
430935,CARROLL,CARROLL,HUNTINGDON SPECIAL SCHOOL DISTRICT,HUNTINGDON HIGH SCHOOL,2018,0.657534247
430935,CARROLL,CARROLL,HUNTINGDON SPECIAL SCHOOL DISTRICT,HUNTINGDON HIGH SCHOOL,2019,0.692307692
430935,CARROLL,CARROLL,HUNTINGDON SPECIAL SCHOOL DISTRICT,HUNTINGDON HIGH SCHOOL,2020,0.72826087
430935,CARROLL,CARROLL,HUNTINGDON SPECIAL SCHOOL DISTRICT,HUNTINGDON HIGH SCHOOL,2021,0.459459459
431330,CARROLL,CARROLL,MCKENZIE,MCKENZIE HIGH SCHOOL,2017,0.674698795
431330,CARROLL,CARROLL,MCKENZIE,MCKENZIE HIGH SCHOOL,2018,0.613207547
431330,CARROLL,CARROLL,MCKENZIE,MCKENZIE HIGH SCHOOL,2019,0.706422018
431330,CARROLL,CARROLL,MCKENZIE,MCKENZIE HIGH SCHOOL,2020,0.714285714
431330,CARROLL,CARROLL,MCKENZIE,MCKENZIE HIGH SCHOOL,2021,0.58974359
430350,CARROLL,CARROLL,SOUTH CARROLL,CLARKSBURG HIGH SCHOOL,2017,0.5
430350,CARROLL,CARROLL,SOUTH CARROLL,CLARKSBURG HIGH SCHOOL,2018,0.8
430350,CARROLL,CARROLL,SOUTH CARROLL,CLARKSBURG HIGH SCHOOL,2019,0.588235294
430350,CARROLL,CARROLL,SOUTH CARROLL,CLARKSBURG HIGH SCHOOL,2020,0.565217391
430350,CARROLL,CARROLL,SOUTH CARROLL,CLARKSBURG HIGH SCHOOL,2021,0.72
