district_number,district_name,school_number,school_name,school_year,gender,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_in_school_suspension,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
80,Cannon County,30,Short Mountain Elementary,2020,Male,0,0,0,0,0,65,0,0,0,0,0
80,Cannon County,35,West Side Elementary,2020,Female,0,0,0,0,0,127,0,0,0,0,0
80,Cannon County,35,West Side Elementary,2020,Male,0,0,0,0,0,146,0,0,0,0,0
80,Cannon County,40,Woodbury Grammar,2020,Female,0,0,0,0,0,199,0,0,0,0,0
80,Cannon County,40,Woodbury Grammar,2020,Male,0,10,0,0,1,205,0,4.9,0,0,0.5
80,Cannon County,45,Woodland Elementary,2020,Female,0,3,0,0,0,177,0,1.7,0,0,0
80,Cannon County,45,Woodland Elementary,2020,Male,0,3,0,0,0,176,0,1.7,0,0,0
80,Cannon County,,,2020,Female,0,6,0,0,0,1010,0,0.6,0,0,0
80,Cannon County,,,2020,Male,0,20,0,0,1,1013,0,2,0,0,0.1
90,Carroll County,7,Carroll Co Tech Center,2020,Female,,,,,,,,,,,
90,Carroll County,7,Carroll Co Tech Center,2020,Male,,,,,,,,,,,
90,Carroll County,,,2020,Female,,,,,,,,,,,
90,Carroll County,,,2020,Male,,,,,,,,,,,
92,Hollow Rock - Bruceton,5,Central Elementary,2020,Female,0,0,0,0,0,136,0,0,0,0,0
92,Hollow Rock - Bruceton,5,Central Elementary,2020,Male,0,0,0,0,0,161,0,0,0,0,0
92,Hollow Rock - Bruceton,10,Central High School,2020,Female,14,0,0,4,0,176,8,0,0,2.3,0
92,Hollow Rock - Bruceton,10,Central High School,2020,Male,12,0,0,4,0,177,6.8,0,0,2.3,0
92,Hollow Rock - Bruceton,,,2020,Female,14,0,0,4,0,312,4.5,0,0,1.3,0
92,Hollow Rock - Bruceton,,,2020,Male,12,0,0,4,0,338,3.6,0,0,1.2,0
93,Huntingdon Special School District,5,Huntingdon Middle School,2020,Female,2,0,0,0,0,258,0.8,0,0,0,0
93,Huntingdon Special School District,5,Huntingdon Middle School,2020,Male,1,0,0,0,0,274,0.4,0,0,0,0
93,Huntingdon Special School District,10,Huntingdon High School,2020,Female,5,0,0,0,0,203,2.5,0,0,0,0
93,Huntingdon Special School District,10,Huntingdon High School,2020,Male,13,0,0,0,0,204,6.4,0,0,0,0
93,Huntingdon Special School District,15,Huntingdon Primary,2020,Female,0,0,0,0,0,187,0,0,0,0,0
93,Huntingdon Special School District,15,Huntingdon Primary,2020,Male,0,0,0,0,0,213,0,0,0,0,0
93,Huntingdon Special School District,,,2020,Female,7,0,0,0,0,648,1.1,0,0,0,0
93,Huntingdon Special School District,,,2020,Male,14,0,0,0,0,691,2,0,0,0,0
94,McKenzie,5,McKenzie Elementary,2020,Female,0,0,0,0,0,240,0,0,0,0,0
94,McKenzie,5,McKenzie Elementary,2020,Male,3,2,0,0,0,267,1.1,0.7,0,0,0
94,McKenzie,10,McKenzie High School,2020,Female,6,0,0,6,0,176,3.4,0,0,3.4,0
94,McKenzie,10,McKenzie High School,2020,Male,8,0,0,7,0,192,4.2,0,0,3.6,0
94,McKenzie,15,McKenzie Middle School,2020,Female,0,0,0,0,0,200,0,0,0,0,0
94,McKenzie,15,McKenzie Middle School,2020,Male,5,0,0,0,0,193,2.6,0,0,0,0
94,McKenzie,,,2020,Female,6,0,0,6,0,616,1,0,0,1,0
94,McKenzie,,,2020,Male,16,2,0,7,0,651,2.5,0.3,0,1.1,0
95,South Carroll,5,Clarksburg School,2020,Female,0,3,0,0,0,153,0,2,0,0,0
95,South Carroll,5,Clarksburg School,2020,Male,1,1,0,2,1,193,0.5,0.5,0,1,0.5
95,South Carroll,,,2020,Female,0,3,0,0,0,153,0,2,0,0,0
95,South Carroll,,,2020,Male,1,1,0,2,1,193,0.5,0.5,0,1,0.5
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,2020,Female,3,2,0,0,0,227,1.3,0.9,0,0,0
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,2020,Male,8,3,1,0,0,240,3.3,1.2,0.4,0,0
97,West Carroll Sp Dist,20,West Carroll Primary,2020,Female,0,0,0,0,0,114,0,0,0,0,0
97,West Carroll Sp Dist,20,West Carroll Primary,2020,Male,0,0,0,0,0,104,0,0,0,0,0
97,West Carroll Sp Dist,25,West Carroll Elementary School,2020,Female,0,0,0,0,0,134,0,0,0,0,0
97,West Carroll Sp Dist,25,West Carroll Elementary School,2020,Male,0,2,0,0,0,141,0,1.4,0,0,0
97,West Carroll Sp Dist,,,2020,Female,3,2,0,0,0,475,0.6,0.4,0,0,0
97,West Carroll Sp Dist,,,2020,Male,8,5,1,0,0,485,1.6,1,0.2,0,0
100,Carter County,5,Central Elementary,2020,Female,0,0,0,0,0,115,0,0,0,0,0
100,Carter County,5,Central Elementary,2020,Male,1,7,0,1,0,128,0.8,5.5,0,0.8,0
100,Carter County,13,Cloudland Elementary School,2020,Female,0,0,0,0,0,127,0,0,0,0,0
100,Carter County,13,Cloudland Elementary School,2020,Male,0,1,0,0,0,150,0,0.7,0,0,0
100,Carter County,15,Cloudland High School,2020,Female,0,0,0,0,0,140,0,0,0,0,0
100,Carter County,15,Cloudland High School,2020,Male,2,6,0,0,0,155,1.3,3.9,0,0,0
100,Carter County,25,Hampton Elementary,2020,Female,17,11,0,1,0,275,6.2,4,0,0.4,0
100,Carter County,25,Hampton Elementary,2020,Male,44,22,0,5,3,328,13.4,6.7,0,1.5,0.9
100,Carter County,30,Hampton High School,2020,Female,7,0,0,3,0,193,3.6,0,0,1.6,0
100,Carter County,30,Hampton High School,2020,Male,6,0,1,13,3,242,2.5,0,0.4,5.4,1.2
100,Carter County,35,Happy Valley Elementary,2020,Female,0,0,0,0,0,249,0,0,0,0,0
100,Carter County,35,Happy Valley Elementary,2020,Male,2,2,0,0,0,243,0.8,0.8,0,0,0
100,Carter County,40,Happy Valley High School,2020,Female,0,0,0,0,0,259,0,0,0,0,0
100,Carter County,40,Happy Valley High School,2020,Male,0,0,0,0,0,284,0,0,0,0,0
100,Carter County,43,Happy Valley Middle School,2020,Female,0,2,0,1,0,224,0,0.9,0,0.4,0
100,Carter County,43,Happy Valley Middle School,2020,Male,2,18,0,2,0,204,1,8.8,0,1,0
100,Carter County,45,Hunter Elementary,2020,Female,1,0,0,0,0,223,0.4,0,0,0,0
100,Carter County,45,Hunter Elementary,2020,Male,8,3,0,0,0,224,3.6,1.3,0,0,0
100,Carter County,50,Keenburg Elementary,2020,Female,0,0,0,0,0,130,0,0,0,0,0
100,Carter County,50,Keenburg Elementary,2020,Male,0,0,0,0,0,159,0,0,0,0,0
100,Carter County,52,Siam Learning Center,2020,Female,0,0,0,0,0,125,0,0,0,0,0
100,Carter County,52,Siam Learning Center,2020,Male,0,0,0,0,0,131,0,0,0,0,0
100,Carter County,55,Little Milligan,2020,Female,0,0,0,0,0,62,0,0,0,0,0
100,Carter County,55,Little Milligan,2020,Male,0,0,0,0,0,76,0,0,0,0,0
100,Carter County,85,Unaka Elementary,2020,Female,1,4,0,0,0,127,0.8,3.1,0,0,0
100,Carter County,85,Unaka Elementary,2020,Male,4,1,0,0,0,138,2.9,0.7,0,0,0
100,Carter County,90,Unaka High School,2020,Female,5,0,0,1,0,200,2.5,0,0,0.5,0
100,Carter County,90,Unaka High School,2020,Male,6,0,0,5,0,178,3.4,0,0,2.8,0
100,Carter County,95,Valley Forge Elementary,2020,Female,0,0,0,0,0,103,0,0,0,0,0
100,Carter County,95,Valley Forge Elementary,2020,Male,0,0,0,0,0,103,0,0,0,0,0
100,Carter County,,,2020,Female,31,17,0,6,0,2459,1.3,0.7,0,0.2,0
100,Carter County,,,2020,Male,75,60,1,26,6,2640,2.8,2.3,0,1,0.2
101,Elizabethton,10,East Side Elementary,2020,Female,0,0,0,0,0,180,0,0,0,0,0
101,Elizabethton,10,East Side Elementary,2020,Male,3,6,0,0,0,204,1.5,2.9,0,0,0
101,Elizabethton,15,Elizabethton High School,2020,Female,13,12,0,0,0,421,3.1,2.9,0,0,0
101,Elizabethton,15,Elizabethton High School,2020,Male,49,14,0,1,2,451,10.9,3.1,0,0.2,0.4
101,Elizabethton,20,Harold McCormick Elementary,2020,Female,0,0,0,0,0,166,0,0,0,0,0
101,Elizabethton,20,Harold McCormick Elementary,2020,Male,3,4,0,0,0,186,1.6,2.2,0,0,0
101,Elizabethton,25,T A Dugger Junior High School,2020,Female,12,3,0,1,0,319,3.8,0.9,0,0.3,0
101,Elizabethton,25,T A Dugger Junior High School,2020,Male,36,11,0,0,0,336,10.7,3.3,0,0,0
101,Elizabethton,30,West Side Elementary,2020,Female,0,0,0,0,0,198,0,0,0,0,0
101,Elizabethton,30,West Side Elementary,2020,Male,3,0,0,1,0,170,1.8,0,0,0.6,0
101,Elizabethton,,,2020,Female,25,15,0,1,0,1280,2,1.2,0,0.1,0
101,Elizabethton,,,2020,Male,94,35,0,2,2,1342,7,2.6,0,0.1,0.1
110,Cheatham County,5,Ashland City Elementary,2020,Female,0,4,0,0,0,209,0,1.9,0,0,0
110,Cheatham County,5,Ashland City Elementary,2020,Male,2,3,0,0,0,209,1,1.4,0,0,0
110,Cheatham County,10,Cheatham Co Central,2020,Female,9,12,0,0,0,323,2.8,3.7,0,0,0
110,Cheatham County,10,Cheatham Co Central,2020,Male,14,27,0,1,1,337,4.2,8,0,0.3,0.3
110,Cheatham County,14,Cheatham Middle School,2020,Female,36,7,0,0,1,305,11.8,2.3,0,0,0.3
110,Cheatham County,14,Cheatham Middle School,2020,Male,107,33,0,4,0,355,30.1,9.3,0,1.1,0
110,Cheatham County,15,East Cheatham Elementary,2020,Female,1,0,0,0,0,196,0.5,0,0,0,0
110,Cheatham County,15,East Cheatham Elementary,2020,Male,1,2,0,0,0,199,0.5,1,0,0,0
110,Cheatham County,18,Harpeth Middle School,2020,Female,18,5,0,0,0,271,6.6,1.8,0,0,0
110,Cheatham County,18,Harpeth Middle School,2020,Male,28,8,0,1,0,268,10.4,3,0,0.4,0
110,Cheatham County,19,Harpeth High School,2020,Female,6,11,0,1,1,286,2.1,3.8,0,0.3,0.3
110,Cheatham County,19,Harpeth High School,2020,Male,13,13,0,3,0,260,5,5,0,1.2,0
110,Cheatham County,20,Kingston Springs Elementary,2020,Female,2,1,0,0,0,172,1.2,0.6,0,0,0
110,Cheatham County,20,Kingston Springs Elementary,2020,Male,4,2,0,0,0,179,2.2,1.1,0,0,0
110,Cheatham County,25,Pegram Elementary Fine Arts Magnet School,2020,Female,0,2,0,0,0,118,0,1.7,0,0,0
110,Cheatham County,25,Pegram Elementary Fine Arts Magnet School,2020,Male,0,5,0,0,0,133,0,3.8,0,0,0
110,Cheatham County,30,Pleasant View Elementary,2020,Female,0,0,0,0,0,261,0,0,0,0,0
110,Cheatham County,30,Pleasant View Elementary,2020,Male,0,3,0,0,1,240,0,1.2,0,0,0.4
110,Cheatham County,32,Sycamore Middle School,2020,Female,18,10,0,0,1,395,4.6,2.5,0,0,0.3
110,Cheatham County,32,Sycamore Middle School,2020,Male,46,16,0,5,0,357,12.9,4.5,0,1.4,0
110,Cheatham County,33,Sycamore High School,2020,Female,35,9,0,5,5,386,9.1,2.3,0,1.3,1.3
110,Cheatham County,33,Sycamore High School,2020,Male,98,21,1,5,8,403,24.3,5.2,0.2,1.2,2
110,Cheatham County,35,West Cheatham Elementary,2020,Female,0,0,0,0,0,175,0,0,0,0,0
110,Cheatham County,35,West Cheatham Elementary,2020,Male,0,0,0,0,0,184,0,0,0,0,0
110,Cheatham County,40,Riverside Academy,2020,Female,0,0,0,0,0,20,0,0,0,0,0
110,Cheatham County,40,Riverside Academy,2020,Male,2,10,5,1,0,51,3.9,19.6,9.8,2,0
110,Cheatham County,,,2020,Female,125,61,0,6,8,3074,4.1,2,0,0.2,0.3
110,Cheatham County,,,2020,Male,313,138,5,20,10,3101,10.1,4.5,0.2,0.6,0.3
120,Chester County,5,Chester County Middle School,2020,Female,9,0,0,0,0,212,4.2,0,0,0,0
120,Chester County,5,Chester County Middle School,2020,Male,24,6,0,0,0,205,11.7,2.9,0,0,0
120,Chester County,8,Chester County High School,2020,Female,28,7,0,6,0,444,6.3,1.6,0,1.4,0
120,Chester County,8,Chester County High School,2020,Male,96,28,1,10,2,415,23.1,6.7,0.2,2.4,0.5
120,Chester County,10,Chester County Junior High School,2020,Female,40,8,0,2,0,334,12,2.4,0,0.6,0
120,Chester County,10,Chester County Junior High School,2020,Male,75,29,0,2,2,362,20.7,8,0,0.6,0.6
120,Chester County,15,East Chester Elementary School,2020,Female,0,0,0,0,0,225,0,0,0,0,0
120,Chester County,15,East Chester Elementary School,2020,Male,2,2,0,0,0,254,0.8,0.8,0,0,0
120,Chester County,25,Jacks Creek Elementary,2020,Female,0,0,0,0,0,76,0,0,0,0,0
120,Chester County,25,Jacks Creek Elementary,2020,Male,0,0,0,0,0,77,0,0,0,0,0
120,Chester County,30,W Chester Elementary School,2020,Female,0,0,0,0,0,143,0,0,0,0,0
120,Chester County,30,W Chester Elementary School,2020,Male,0,0,0,0,0,141,0,0,0,0,0
120,Chester County,,,2020,Female,77,15,0,8,0,1429,5.4,1,0,0.6,0
120,Chester County,,,2020,Male,197,65,1,12,4,1453,13.6,4.5,0.1,0.8,0.3
130,Claiborne County,35,Clairfield Elementary,2020,Female,0,0,0,0,0,45,0,0,0,0,0
130,Claiborne County,35,Clairfield Elementary,2020,Male,0,0,0,0,0,39,0,0,0,0,0
130,Claiborne County,45,Ellen Myers Primary,2020,Female,0,0,0,0,0,159,0,0,0,0,0
130,Claiborne County,45,Ellen Myers Primary,2020,Male,2,1,0,0,0,168,1.2,0.6,0,0,0
130,Claiborne County,50,Forge Ridge School,2020,Female,0,3,0,0,0,93,0,3.2,0,0,0
130,Claiborne County,50,Forge Ridge School,2020,Male,3,6,0,1,0,120,2.5,5,0,0.8,0
130,Claiborne County,67,H. Y. Livesay Middle School,2020,Female,1,0,0,1,0,157,0.6,0,0,0.6,0
130,Claiborne County,67,H. Y. Livesay Middle School,2020,Male,7,10,0,2,0,136,5.1,7.4,0,1.5,0
130,Claiborne County,90,Midway Elementary,2020,Female,2,1,0,1,1,186,1.1,0.5,0,0.5,0.5
130,Claiborne County,90,Midway Elementary,2020,Male,27,11,0,1,0,213,12.7,5.2,0,0.5,0
130,Claiborne County,93,Cumberland Gap High School,2020,Female,26,5,0,0,0,279,9.3,1.8,0,0,0
130,Claiborne County,93,Cumberland Gap High School,2020,Male,49,16,0,3,0,300,16.3,5.3,0,1,0
130,Claiborne County,95,Powell Valley Elementary,2020,Female,0,1,0,0,0,174,0,0.6,0,0,0
130,Claiborne County,95,Powell Valley Elementary,2020,Male,0,9,0,0,0,184,0,4.9,0,0,0
130,Claiborne County,105,Soldiers Memorial Middle School,2020,Female,3,13,0,0,0,283,1.1,4.6,0,0,0
130,Claiborne County,105,Soldiers Memorial Middle School,2020,Male,12,36,0,2,0,266,4.5,13.5,0,0.8,0
130,Claiborne County,110,Claiborne High School,2020,Female,17,5,0,2,0,377,4.5,1.3,0,0.5,0
130,Claiborne County,110,Claiborne High School,2020,Male,70,22,0,7,3,421,16.6,5.2,0,1.7,0.7
130,Claiborne County,115,Springdale Elementary,2020,Female,0,0,0,0,0,159,0,0,0,0,0
130,Claiborne County,115,Springdale Elementary,2020,Male,0,1,0,0,0,177,0,0.6,0,0,0
130,Claiborne County,117,Tazewell-New Tazewell Elementary,2020,Female,0,0,0,0,0,289,0,0,0,0,0
130,Claiborne County,117,Tazewell-New Tazewell Elementary,2020,Male,9,8,0,0,0,300,3,2.7,0,0,0
130,Claiborne County,,,2020,Female,49,28,0,4,1,2126,2.3,1.3,0,0.2,0
130,Claiborne County,,,2020,Male,179,120,0,16,3,2225,8,5.4,0,0.7,0.1
140,Clay County,5,Celina K-8,2020,Female,4,0,0,3,0,267,1.5,0,0,1.1,0
140,Clay County,5,Celina K-8,2020,Male,11,0,0,3,0,303,3.6,0,0,1,0
140,Clay County,12,Clay County High School,2020,Female,5,0,0,1,0,170,2.9,0,0,0.6,0
140,Clay County,12,Clay County High School,2020,Male,16,0,0,9,0,161,9.9,0,0,5.6,0
140,Clay County,20,Hermitage Springs Elementary School,2020,Female,0,0,0,0,0,110,0,0,0,0,0
140,Clay County,20,Hermitage Springs Elementary School,2020,Male,0,0,0,4,0,108,0,0,0,3.7,0
140,Clay County,,,2020,Female,9,0,0,4,0,543,1.7,0,0,0.7,0
140,Clay County,,,2020,Male,27,0,0,16,0,570,4.7,0,0,2.8,0
150,Cocke County,5,Bridgeport Elementary,2020,Female,6,0,0,0,0,190,3.2,0,0,0,0
150,Cocke County,5,Bridgeport Elementary,2020,Male,20,1,0,0,0,193,10.4,0.5,0,0,0
150,Cocke County,10,Centerview Elementary,2020,Female,1,0,0,0,0,146,0.7,0,0,0,0
150,Cocke County,10,Centerview Elementary,2020,Male,11,6,1,0,0,149,7.4,4,0.7,0,0
150,Cocke County,12,Cocke Co Adult High School,2020,Female,,,,,,,,,,,
150,Cocke County,12,Cocke Co Adult High School,2020,Male,,,,,,,,,,,
150,Cocke County,15,Cocke Co High School,2020,Female,36,1,0,1,0,588,6.1,0.2,0,0.2,0
150,Cocke County,15,Cocke Co High School,2020,Male,129,9,0,1,3,653,19.8,1.4,0,0.2,0.5
150,Cocke County,25,Cosby Elementary,2020,Female,2,1,0,0,0,237,0.8,0.4,0,0,0
150,Cocke County,25,Cosby Elementary,2020,Male,13,4,0,0,0,251,5.2,1.6,0,0,0
150,Cocke County,27,Cosby High School,2020,Female,0,2,0,0,0,197,0,1,0,0,0
150,Cocke County,27,Cosby High School,2020,Male,1,2,0,1,0,181,0.6,1.1,0,0.6,0
150,Cocke County,30,Del Rio Elementary,2020,Female,0,0,0,0,0,76,0,0,0,0,0
150,Cocke County,30,Del Rio Elementary,2020,Male,4,1,0,0,0,74,5.4,1.4,0,0,0
150,Cocke County,35,Edgemont Elementary,2020,Female,20,3,0,0,0,309,6.5,1,0,0,0
150,Cocke County,35,Edgemont Elementary,2020,Male,47,17,0,0,0,327,14.4,5.2,0,0,0
150,Cocke County,40,Grassy Fork Elementary,2020,Female,0,0,0,0,0,63,0,0,0,0,0
150,Cocke County,40,Grassy Fork Elementary,2020,Male,0,0,0,0,0,78,0,0,0,0,0
150,Cocke County,52,Northwest Elementary,2020,Female,8,5,0,0,0,250,3.2,2,0,0,0
